,tissue_in_publication,cell_type,mean,std,min,25%,50%,75%,max,gene,iqr,upper,lower,compartment
16,Heart,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
17,Heart,cardiac muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
18,Heart,fibroblast of cardiac tissue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
19,Large_Intestine,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
20,Liver,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
21,Lung,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
22,Lung,mesothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
23,Lung,myofibroblast cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
24,Lung,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
25,Lung,vascular associated smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
26,Lung,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
27,Lung,adventitial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
28,Lung,bronchial smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
29,Lymph_Node,stromal cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
30,Mammary,vascular associated smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
31,Mammary,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
32,Mammary,fibroblast of breast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
33,Muscle,mesothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
34,Muscle,mesenchymal stem cell,0.00016374728875234723,0.013074970804154873,0.0,0.0,0.0,0.0,1.0941654443740845,A3GALT2,0.0,0.0,0.0,stromal
35,Muscle,slow muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
36,Muscle,fast muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
37,Muscle,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
38,Muscle,tendon cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
39,Muscle,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
40,Muscle,skeletal muscle satellite stem cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
41,Pancreas,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
42,Pancreas,pancreatic stellate cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
43,Prostate,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
44,Prostate,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
45,Salivary_Gland,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
46,Salivary_Gland,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
47,Salivary_Gland,adventitial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
48,Skin,melanocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
49,Skin,muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
50,Skin,cell of skeletal muscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
51,Skin,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
52,Skin,stromal cell,0.0004525319382082671,0.024239281192421913,0.0,0.0,0.0,0.0,1.298314094543457,A3GALT2,0.0,0.0,0.0,stromal
53,Small_Intestine,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
54,Thymus,fibroblast,0.0008905646973289549,0.02867022156715393,0.0,0.0,0.0,0.0,1.1087133884429932,A3GALT2,0.0,0.0,0.0,stromal
55,Thymus,fast muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
56,Thymus,vascular associated smooth muscle cell,0.0011265726061537862,0.031974174082279205,0.0,0.0,0.0,0.0,1.2203415632247925,A3GALT2,0.0,0.0,0.0,stromal
57,Tongue,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
58,Tongue,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
59,Tongue,Schwann cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
60,Tongue,tongue muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
61,Trachea,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
62,Trachea,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
63,Trachea,connective tissue cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
64,Uterus,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
65,Uterus,vascular associated smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
66,Uterus,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
67,Uterus,myometrial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
68,Vasculature,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
69,Vasculature,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
70,Vasculature,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A3GALT2,0.0,0.0,0.0,stromal
71,Bladder,fibroblast,0.2123136818408966,0.35880911350250244,0.0,0.0,0.0,0.4379223957657814,2.16243839263916,A4GALT,0.4379223957657814,1.0948059894144535,0.0,stromal
72,Bladder,myofibroblast cell,0.1790381222963333,0.36018094420433044,0.0,0.0,0.0,0.0,1.7169642448425293,A4GALT,0.0,0.0,0.0,stromal
73,Bladder,smooth muscle cell,0.08400662243366241,0.20845623314380646,0.0,0.0,0.0,0.0,1.0433610677719116,A4GALT,0.0,0.0,0.0,stromal
74,Bladder,pericyte,0.2234819233417511,0.39235401153564453,0.0,0.0,0.0,0.44389015436172485,1.8807837963104248,A4GALT,0.44389015436172485,1.1097253859043121,0.0,stromal
75,Eye,fibroblast,0.13153700530529022,0.3085549771785736,0.0,0.0,0.0,0.0,1.4211039543151855,A4GALT,0.0,0.0,0.0,stromal
76,Eye,fat cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GALT,0.0,0.0,0.0,stromal
77,Eye,melanocyte,0.029811501502990723,0.13551944494247437,0.0,0.0,0.0,0.0,0.8255792260169983,A4GALT,0.0,0.0,0.0,stromal
78,Eye,stromal cell,0.01630033366382122,0.09318777918815613,0.0,0.0,0.0,0.0,1.0459285974502563,A4GALT,0.0,0.0,0.0,stromal
79,Eye,radial glial cell,0.48089146614074707,0.4241749048233032,0.0,0.0,0.45829951763153076,0.7608920186758041,1.9564841985702515,A4GALT,0.7608920186758041,1.9022300466895103,0.0,stromal
80,Eye,retinal ganglion cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GALT,0.0,0.0,0.0,stromal
81,Eye,retina horizontal cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GALT,0.0,0.0,0.0,stromal
82,Eye,retinal bipolar neuron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GALT,0.0,0.0,0.0,stromal
83,Eye,Mueller cell,0.001366837415844202,0.025203216820955276,0.0,0.0,0.0,0.0,0.46472471952438354,A4GALT,0.0,0.0,0.0,stromal
84,Fat,fibroblast,0.2342723160982132,0.36305949091911316,0.0,0.0,0.0,0.4732789024710655,2.190850019454956,A4GALT,0.4732789024710655,1.1831972561776638,0.0,stromal
85,Fat,myofibroblast cell,0.21870912611484528,0.382347047328949,0.0,0.0,0.0,0.48908232152462006,1.909361481666565,A4GALT,0.48908232152462006,1.2227058038115501,0.0,stromal
86,Fat,smooth muscle cell,0.22111429274082184,0.3423554599285126,0.0,0.0,0.0,0.4851143956184387,0.8802209496498108,A4GALT,0.4851143956184387,0.8802209496498108,0.0,stromal
87,Heart,smooth muscle cell,0.24343624711036682,0.49501335620880127,0.0,0.0,0.0,0.0,2.0136618614196777,A4GALT,0.0,0.0,0.0,stromal
88,Heart,cardiac muscle cell,0.07448644191026688,0.19908402860164642,0.0,0.0,0.0,0.0,1.5933148860931396,A4GALT,0.0,0.0,0.0,stromal
89,Heart,fibroblast of cardiac tissue,0.25582823157310486,0.49731364846229553,0.0,0.0,0.0,0.0,2.2098870277404785,A4GALT,0.0,0.0,0.0,stromal
90,Large_Intestine,fibroblast,0.2284037470817566,0.43842586874961853,0.0,0.0,0.0,0.0,2.0589334964752197,A4GALT,0.0,0.0,0.0,stromal
91,Liver,fibroblast,0.12916770577430725,0.28370797634124756,0.0,0.0,0.0,0.0,1.0754281282424927,A4GALT,0.0,0.0,0.0,stromal
92,Lung,fibroblast,0.15921823680400848,0.41553571820259094,0.0,0.0,0.0,0.0,2.025374412536621,A4GALT,0.0,0.0,0.0,stromal
93,Lung,mesothelial cell,0.035642340779304504,0.14256936311721802,0.0,0.0,0.0,0.0,0.5702774524688721,A4GALT,0.0,0.0,0.0,stromal
94,Lung,myofibroblast cell,0.14186552166938782,0.33414286375045776,0.0,0.0,0.0,0.0,1.0254210233688354,A4GALT,0.0,0.0,0.0,stromal
95,Lung,smooth muscle cell,0.09647683054208755,0.27584534883499146,0.0,0.0,0.0,0.0,1.0125802755355835,A4GALT,0.0,0.0,0.0,stromal
96,Lung,vascular associated smooth muscle cell,0.28043806552886963,0.5652529001235962,0.0,0.0,0.0,0.0,2.059530258178711,A4GALT,0.0,0.0,0.0,stromal
97,Lung,pericyte,0.18054841458797455,0.45528745651245117,0.0,0.0,0.0,0.0,1.7876049280166626,A4GALT,0.0,0.0,0.0,stromal
98,Lung,adventitial cell,0.3865727484226227,0.5870255827903748,0.0,0.0,0.0,0.8720154464244843,2.1062796115875244,A4GALT,0.8720154464244843,2.1062796115875244,0.0,stromal
99,Lung,bronchial smooth muscle cell,0.29712507128715515,0.5231889486312866,0.0,0.0,0.0,0.37404632568359375,1.4874579906463623,A4GALT,0.37404632568359375,0.9351158142089844,0.0,stromal
100,Lymph_Node,stromal cell,0.28863418102264404,0.3883759379386902,0.0,0.0,0.0,0.6421260237693787,1.2737324237823486,A4GALT,0.6421260237693787,1.2737324237823486,0.0,stromal
101,Mammary,vascular associated smooth muscle cell,0.2359945923089981,0.4581199288368225,0.0,0.0,0.0,0.0,1.5858612060546875,A4GALT,0.0,0.0,0.0,stromal
102,Mammary,pericyte,0.2586856484413147,0.4943685531616211,0.0,0.0,0.0,0.0,1.797196865081787,A4GALT,0.0,0.0,0.0,stromal
103,Mammary,fibroblast of breast,0.4238435924053192,0.5702065229415894,0.0,0.0,0.0,0.8977692723274231,2.3829071521759033,A4GALT,0.8977692723274231,2.2444231808185577,0.0,stromal
104,Muscle,mesothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GALT,0.0,0.0,0.0,stromal
105,Muscle,mesenchymal stem cell,0.17676477134227753,0.342840313911438,0.0,0.0,0.0,0.0,1.9644805192947388,A4GALT,0.0,0.0,0.0,stromal
106,Muscle,slow muscle cell,0.05673349276185036,0.2840258777141571,0.0,0.0,0.0,0.0,1.523463249206543,A4GALT,0.0,0.0,0.0,stromal
107,Muscle,fast muscle cell,0.012734469957649708,0.09564519673585892,0.0,0.0,0.0,0.0,0.8305142521858215,A4GALT,0.0,0.0,0.0,stromal
108,Muscle,smooth muscle cell,0.31101787090301514,0.439890056848526,0.0,0.0,0.0,0.638658881187439,1.2621270418167114,A4GALT,0.638658881187439,1.2621270418167114,0.0,stromal
109,Muscle,tendon cell,0.1804175078868866,0.396566778421402,0.0,0.0,0.0,0.0,2.175194025039673,A4GALT,0.0,0.0,0.0,stromal
110,Muscle,pericyte,0.19479061663150787,0.39307528734207153,0.0,0.0,0.0,0.0,1.9995450973510742,A4GALT,0.0,0.0,0.0,stromal
111,Muscle,skeletal muscle satellite stem cell,0.054821550846099854,0.22350262105464935,0.0,0.0,0.0,0.0,1.8111873865127563,A4GALT,0.0,0.0,0.0,stromal
112,Pancreas,fibroblast,0.1784517467021942,0.3861338794231415,0.0,0.0,0.0,0.0,1.3287276029586792,A4GALT,0.0,0.0,0.0,stromal
113,Pancreas,pancreatic stellate cell,0.3921738266944885,0.47561410069465637,0.0,0.0,0.0,0.7623229622840881,2.227661609649658,A4GALT,0.7623229622840881,1.9058074057102203,0.0,stromal
114,Prostate,fibroblast,0.13491180539131165,0.32684406638145447,0.0,0.0,0.0,0.0,1.285866379737854,A4GALT,0.0,0.0,0.0,stromal
115,Prostate,smooth muscle cell,0.2971237599849701,0.4296640455722809,0.0,0.0,0.0,0.5883561372756958,1.8261109590530396,A4GALT,0.5883561372756958,1.4708903431892395,0.0,stromal
116,Salivary_Gland,fibroblast,0.184126615524292,0.3488152027130127,0.0,0.0,0.0,0.31715991348028183,2.053879737854004,A4GALT,0.31715991348028183,0.7928997837007046,0.0,stromal
117,Salivary_Gland,pericyte,0.20189353823661804,0.37106385827064514,0.0,0.0,0.0,0.12742210552096367,1.1785684823989868,A4GALT,0.12742210552096367,0.31855526380240917,0.0,stromal
118,Salivary_Gland,adventitial cell,0.31868985295295715,0.401764839887619,0.0,0.0,0.0,0.5982016026973724,1.6527254581451416,A4GALT,0.5982016026973724,1.495504006743431,0.0,stromal
119,Skin,melanocyte,0.038421161472797394,0.19410929083824158,0.0,0.0,0.0,0.0,1.2033276557922363,A4GALT,0.0,0.0,0.0,stromal
120,Skin,muscle cell,0.23944681882858276,0.4196426272392273,0.0,0.0,0.0,0.5558201968669891,1.9390841722488403,A4GALT,0.5558201968669891,1.3895504921674728,0.0,stromal
121,Skin,cell of skeletal muscle,0.3848334848880768,0.5270047187805176,0.0,0.0,0.0,0.8448993414640427,1.2851091623306274,A4GALT,0.8448993414640427,1.2851091623306274,0.0,stromal
122,Skin,smooth muscle cell,0.2725833058357239,0.4430851340293884,0.0,0.0,0.0,0.604022204875946,1.164886236190796,A4GALT,0.604022204875946,1.164886236190796,0.0,stromal
123,Skin,stromal cell,0.7056449055671692,0.6086701154708862,0.0,0.0,0.7442153692245483,1.183340072631836,2.686478614807129,A4GALT,1.183340072631836,2.686478614807129,0.0,stromal
124,Small_Intestine,fibroblast,0.20973874628543854,0.4088769853115082,0.0,0.0,0.0,0.42441774904727936,1.9821568727493286,A4GALT,0.42441774904727936,1.0610443726181984,0.0,stromal
125,Thymus,fibroblast,0.2873924672603607,0.4266095757484436,0.0,0.0,0.0,0.5655815601348877,2.4653127193450928,A4GALT,0.5655815601348877,1.4139539003372192,0.0,stromal
126,Thymus,fast muscle cell,0.1192116066813469,0.2768545150756836,0.0,0.0,0.0,0.0,1.131986379623413,A4GALT,0.0,0.0,0.0,stromal
127,Thymus,vascular associated smooth muscle cell,0.3464922606945038,0.49887654185295105,0.0,0.0,0.0,0.7295071333646774,2.314643383026123,A4GALT,0.7295071333646774,1.8237678334116936,0.0,stromal
128,Tongue,fibroblast,0.3350595235824585,0.4568895399570465,0.0,0.0,0.0,0.6861961781978607,1.7446093559265137,A4GALT,0.6861961781978607,1.7154904454946518,0.0,stromal
129,Tongue,pericyte,0.2852473556995392,0.4483262896537781,0.0,0.0,0.0,0.6863997876644135,1.438384771347046,A4GALT,0.6863997876644135,1.438384771347046,0.0,stromal
130,Tongue,Schwann cell,0.032460182905197144,0.10264810174703598,0.0,0.0,0.0,0.0,0.32460182905197144,A4GALT,0.0,0.0,0.0,stromal
131,Tongue,tongue muscle cell,0.04557178542017937,0.2419544905424118,0.0,0.0,0.0,0.0,1.475636601448059,A4GALT,0.0,0.0,0.0,stromal
132,Trachea,fibroblast,0.3166210353374481,0.4476727843284607,0.0,0.0,0.0,0.6295101940631866,2.079383134841919,A4GALT,0.6295101940631866,1.5737754851579666,0.0,stromal
133,Trachea,smooth muscle cell,0.2155553102493286,0.37057656049728394,0.0,0.0,0.0,0.4447709172964096,1.2530308961868286,A4GALT,0.4447709172964096,1.111927293241024,0.0,stromal
134,Trachea,connective tissue cell,0.37021374702453613,0.557195246219635,0.0,0.0,0.0,0.8800557851791382,2.1614179611206055,A4GALT,0.8800557851791382,2.1614179611206055,0.0,stromal
135,Uterus,fibroblast,0.12974970042705536,0.2916453182697296,0.0,0.0,0.0,0.0,2.2459633350372314,A4GALT,0.0,0.0,0.0,stromal
136,Uterus,vascular associated smooth muscle cell,0.18084652721881866,0.3780694901943207,0.0,0.0,0.0,0.0,1.5230425596237183,A4GALT,0.0,0.0,0.0,stromal
137,Uterus,pericyte,0.31474003195762634,0.44021672010421753,0.0,0.0,0.0,0.6570582389831543,1.691338062286377,A4GALT,0.6570582389831543,1.6426455974578857,0.0,stromal
138,Uterus,myometrial cell,0.21862183511257172,0.40937215089797974,0.0,0.0,0.0,0.0,1.6346538066864014,A4GALT,0.0,0.0,0.0,stromal
139,Vasculature,fibroblast,0.3399496376514435,0.39437001943588257,0.0,0.0,0.2468939870595932,0.5858379006385803,2.1185786724090576,A4GALT,0.5858379006385803,1.4645947515964508,0.0,stromal
140,Vasculature,smooth muscle cell,0.3061390519142151,0.39379066228866577,0.0,0.0,0.0,0.5647818893194199,2.1492741107940674,A4GALT,0.5647818893194199,1.4119547232985497,0.0,stromal
141,Vasculature,pericyte,0.37029027938842773,0.4212605357170105,0.0,0.0,0.2803625911474228,0.6563319116830826,1.8575985431671143,A4GALT,0.6563319116830826,1.6408297792077065,0.0,stromal
142,Bladder,fibroblast,7.177015504566953e-05,0.00520017184317112,0.0,0.0,0.0,0.0,0.3767933249473572,A4GNT,0.0,0.0,0.0,stromal
143,Bladder,myofibroblast cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
144,Bladder,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
145,Bladder,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
146,Eye,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
147,Eye,fat cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
148,Eye,melanocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
149,Eye,stromal cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
150,Eye,radial glial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
151,Eye,retinal ganglion cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
152,Eye,retina horizontal cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
153,Eye,retinal bipolar neuron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
154,Eye,Mueller cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
155,Fat,fibroblast,6.838193075964227e-05,0.006255816668272018,0.0,0.0,0.0,0.0,0.5723567605018616,A4GNT,0.0,0.0,0.0,stromal
156,Fat,myofibroblast cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
157,Fat,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
158,Heart,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
159,Heart,cardiac muscle cell,5.317142131389119e-05,0.004413891118019819,0.0,0.0,0.0,0.0,0.36645743250846863,A4GNT,0.0,0.0,0.0,stromal
160,Heart,fibroblast of cardiac tissue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
161,Large_Intestine,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
162,Liver,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
163,Lung,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
164,Lung,mesothelial cell,0.029201436787843704,0.11680573225021362,0.0,0.0,0.0,0.0,0.46722298860549927,A4GNT,0.0,0.0,0.0,stromal
165,Lung,myofibroblast cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
166,Lung,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
167,Lung,vascular associated smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
168,Lung,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
169,Lung,adventitial cell,0.005396753083914518,0.04642464593052864,0.0,0.0,0.0,0.0,0.39935973286628723,A4GNT,0.0,0.0,0.0,stromal
170,Lung,bronchial smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
171,Lymph_Node,stromal cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
172,Mammary,vascular associated smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
173,Mammary,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
174,Mammary,fibroblast of breast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
175,Muscle,mesothelial cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
176,Muscle,mesenchymal stem cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
177,Muscle,slow muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
178,Muscle,fast muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
179,Muscle,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
180,Muscle,tendon cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
181,Muscle,pericyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
182,Muscle,skeletal muscle satellite stem cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
183,Pancreas,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
184,Pancreas,pancreatic stellate cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
185,Prostate,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
186,Prostate,smooth muscle cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
187,Salivary_Gland,fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A4GNT,0.0,0.0,0.0,stromal
